loss,grad_norm,learning_rate,epoch,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,train_loss
,,,70.0,1.734494924545288,0.81,3.3334,59.999,2.1,,,,
0.0,8.926734153646976e-05,1.45e-05,71.0,,,,,,,,,
,,,71.0,1.745690107345581,0.81,3.3846,59.091,2.068,,,,
0.0,0.00012162273924332112,1.4000000000000001e-05,72.0,,,,,,,,,
,,,72.0,1.756067156791687,0.81,3.3241,60.167,2.106,,,,
,,,73.0,1.7643016576766968,0.81,4.5829,43.641,1.527,,,,
0.0,0.00010262174328090623,1.3500000000000001e-05,73.0,,,,,,,,,
,,,74.0,1.7721978425979614,0.81,3.7996,52.638,1.842,,,,
0.0,0.00011967111640842631,1.3000000000000001e-05,74.0,,,,,,,,,
0.0,9.119581955019385e-05,1.25e-05,75.0,,,,,,,,,
,,,75.0,1.7796472311019897,0.81,3.5831,55.817,1.954,,,,
0.0,9.729374869493768e-05,1.2e-05,76.0,,,,,,,,,
,,,76.0,1.7894552946090698,0.81,3.5266,56.712,1.985,,,,
0.0,0.0001008407271001488,1.1500000000000002e-05,77.0,,,,,,,,,
,,,77.0,1.8018232583999634,0.81,3.6408,54.933,1.923,,,,
0.0,0.00010044519149232656,1.1000000000000001e-05,78.0,,,,,,,,,
,,,78.0,1.8079211711883545,0.81,3.9196,51.025,1.786,,,,
,,,79.0,1.8131500482559204,0.81,3.4877,57.345,2.007,,,,
0.0,0.00010578442015685141,1.05e-05,79.0,,,,,,,,,
0.0,8.529965271009132e-05,1e-05,80.0,,,,,,,,,
,,,80.0,1.833911418914795,0.81,3.3627,59.475,2.082,,,,
0.0,0.0002451756736263633,9.5e-06,81.0,,,,,,,,,
,,,81.0,1.8523688316345215,0.81,3.3549,59.615,2.087,,,,
0.0003,7.725742761977017e-05,9e-06,82.0,,,,,,,,,
,,,82.0,1.9567763805389404,0.8,3.3951,58.909,2.062,,,,
,,,83.0,1.9217402935028076,0.805,3.3368,59.937,2.098,,,,
0.0,0.0001408883254043758,8.500000000000002e-06,83.0,,,,,,,,,
0.0,0.00010280473361490294,8.000000000000001e-06,84.0,,,,,,,,,
,,,84.0,1.9268051385879517,0.805,3.3565,59.585,2.085,,,,
0.0,0.0006620980566367507,7.5e-06,85.0,,,,,,,,,
,,,85.0,1.928926706314087,0.805,3.8494,51.956,1.818,,,,
0.0,9.502073226030916e-05,7.000000000000001e-06,86.0,,,,,,,,,
,,,86.0,1.9313774108886719,0.805,3.555,56.258,1.969,,,,
0.0,7.529131835326552e-05,6.5000000000000004e-06,87.0,,,,,,,,,
,,,87.0,1.9335534572601318,0.805,3.6795,54.356,1.902,,,,
0.0,0.00012492314272094518,6e-06,88.0,,,,,,,,,
,,,88.0,1.9359756708145142,0.805,3.3986,58.848,2.06,,,,
0.0,8.789022103883326e-05,5.500000000000001e-06,89.0,,,,,,,,,
,,,89.0,1.9383794069290161,0.805,3.3267,60.12,2.104,,,,
0.0,7.702795846853405e-05,5e-06,90.0,,,,,,,,,
,,,90.0,1.9405272006988525,0.805,3.3872,59.046,2.067,,,,
0.0,9.33443516260013e-05,4.5e-06,91.0,,,,,,,,,
,,,91.0,1.9424428939819336,0.805,3.4086,58.675,2.054,,,,
,,,92.0,1.944206714630127,0.805,3.4358,58.211,2.037,,,,
0.0,6.410549394786358e-05,4.000000000000001e-06,92.0,,,,,,,,,
0.0,7.558342622360215e-05,3.5000000000000004e-06,93.0,,,,,,,,,
,,,93.0,1.9408303499221802,0.805,4.6433,43.073,1.508,,,,
0.0,0.00016632901679258794,3e-06,94.0,,,,,,,,,
,,,94.0,1.9425103664398193,0.805,5.2068,38.411,1.344,,,,
0.0084,5.6988512369571254e-05,2.5e-06,95.0,,,,,,,,,
,,,95.0,1.8305026292800903,0.82,3.7593,53.202,1.862,,,,
,,,96.0,1.8185604810714722,0.82,3.2641,61.273,2.145,,,,
0.0,6.903184112161398e-05,2.0000000000000003e-06,96.0,,,,,,,,,
0.0,9.68688545981422e-05,1.5e-06,97.0,,,,,,,,,
,,,97.0,1.8196722269058228,0.82,3.4281,58.342,2.042,,,,
0.0,9.242249507224187e-05,1.0000000000000002e-06,98.0,,,,,,,,,
,,,98.0,1.820634126663208,0.82,3.2496,61.547,2.154,,,,
0.0,7.437397289322689e-05,5.000000000000001e-07,99.0,,,,,,,,,
,,,99.0,1.821144700050354,0.82,3.3453,59.785,2.092,,,,
,,,100.0,1.8212634325027466,0.82,3.2622,61.309,2.146,,,,
0.0,0.00010258775728289038,0.0,100.0,,,,,,,,,
,,,100.0,,,,,,6623.9673,15.097,0.951,0.012961176966276806
